epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.86,1.46349,2.68243,1.82824,0.47,0.4284,0.3965,0.25719,1.39491,1.97849,1.85417,0.00332987,0.00332987,0.00332987
2,1183.22,1.4097,2.12808,1.76989,0.33665,0.26989,0.21317,0.1193,1.7295,2.61679,2.26604,0.00661922,0.00661922,0.00661922
3,1724.92,1.50547,2.35685,1.86168,0.27124,0.21546,0.15446,0.09381,1.75792,3.18504,2.28603,0.00986458,0.00986458,0.00986458
4,2385.38,1.53939,2.49275,1.90019,0.34486,0.37755,0.29453,0.17473,1.58842,2.42029,2.09384,0.009802,0.009802,0.009802
5,2974.66,1.44865,2.30842,1.83546,0.41816,0.42561,0.3804,0.2345,1.51177,2.17168,2.00657,0.009736,0.009736,0.009736
6,3642.7,1.41156,2.19628,1.79565,0.54646,0.46563,0.45361,0.27785,1.43874,1.89597,1.89883,0.00967,0.00967,0.00967
7,4357.11,1.3748,2.10757,1.76849,0.52088,0.46404,0.44089,0.2833,1.39212,1.87363,1.88113,0.009604,0.009604,0.009604
8,4951.7,1.34139,2.0395,1.74166,0.52968,0.44342,0.42376,0.26317,1.42683,1.94888,1.86812,0.009538,0.009538,0.009538
9,5692.8,1.31261,1.96384,1.71489,0.52053,0.48948,0.46427,0.29899,1.37073,1.83809,1.84545,0.009472,0.009472,0.009472
10,6227.19,1.29984,1.91733,1.70165,0.57987,0.51741,0.50018,0.32948,1.30222,1.74682,1.76456,0.009406,0.009406,0.009406
11,6926.8,1.27057,1.88379,1.67848,0.5274,0.5416,0.49404,0.33864,1.30327,1.70806,1.81421,0.00934,0.00934,0.00934
12,7476.2,1.26249,1.85856,1.67051,0.57444,0.5464,0.51797,0.35279,1.27411,1.6063,1.74958,0.009274,0.009274,0.009274
13,8155.32,1.25342,1.8176,1.66239,0.58377,0.54591,0.52525,0.34902,1.25481,1.61666,1.71788,0.009208,0.009208,0.009208
14,8916.24,1.24237,1.78615,1.64674,0.56521,0.55678,0.51112,0.34666,1.25169,1.64063,1.70748,0.009142,0.009142,0.009142
15,9548.33,1.23312,1.75642,1.63905,0.57075,0.56866,0.51736,0.36579,1.21145,1.61731,1.69274,0.009076,0.009076,0.009076
16,10304.1,1.21952,1.74407,1.62694,0.58617,0.58703,0.54791,0.38181,1.21533,1.55801,1.70513,0.00901,0.00901,0.00901
17,10901.9,1.21144,1.72647,1.62335,0.60786,0.58782,0.55276,0.38481,1.18834,1.48499,1.679,0.008944,0.008944,0.008944
18,11698,1.1998,1.69499,1.61386,0.59328,0.57195,0.53767,0.37472,1.20526,1.60815,1.68028,0.008878,0.008878,0.008878
19,12300.1,1.19907,1.70244,1.60782,0.59728,0.58965,0.53294,0.37097,1.22417,1.66815,1.70393,0.008812,0.008812,0.008812
20,12975.3,1.1838,1.66506,1.5974,0.62084,0.58764,0.56763,0.40435,1.19484,1.5393,1.68607,0.008746,0.008746,0.008746
21,13703.9,1.17423,1.64843,1.58626,0.6302,0.61123,0.56934,0.40592,1.16484,1.47317,1.6808,0.00868,0.00868,0.00868
22,14399,1.17469,1.63246,1.5863,0.64362,0.61521,0.58787,0.42526,1.12864,1.49037,1.63817,0.008614,0.008614,0.008614
23,14969.8,1.16408,1.62593,1.58442,0.62762,0.61506,0.57712,0.42081,1.14115,1.49718,1.64175,0.008548,0.008548,0.008548
24,15733.3,1.16148,1.62097,1.58113,0.64569,0.6199,0.58526,0.41814,1.14502,1.48644,1.64582,0.008482,0.008482,0.008482
25,16340.8,1.15817,1.60941,1.57738,0.64979,0.61854,0.58723,0.42518,1.13049,1.45155,1.65338,0.008416,0.008416,0.008416
26,17107.1,1.14536,1.57585,1.56312,0.65855,0.61373,0.58544,0.42828,1.10198,1.42811,1.62907,0.00835,0.00835,0.00835
27,17703.6,1.14266,1.5781,1.56184,0.63321,0.62553,0.58749,0.43399,1.10099,1.41927,1.63639,0.008284,0.008284,0.008284
28,18446.3,1.14505,1.57064,1.56638,0.67266,0.61727,0.59585,0.42803,1.1272,1.47174,1.63491,0.008218,0.008218,0.008218
29,19007.7,1.12655,1.54387,1.55234,0.66287,0.62772,0.59047,0.43064,1.10454,1.46956,1.63069,0.008152,0.008152,0.008152
30,19761.3,1.12378,1.55735,1.55383,0.64921,0.63942,0.5946,0.43777,1.0942,1.45704,1.61141,0.008086,0.008086,0.008086
31,20391.8,1.12431,1.53635,1.54783,0.652,0.64469,0.60499,0.44306,1.09813,1.41501,1.61765,0.00802,0.00802,0.00802
32,21143.7,1.12039,1.53704,1.54484,0.66595,0.63292,0.60893,0.44506,1.08777,1.42794,1.61285,0.007954,0.007954,0.007954
33,427.516,1.10635,1.50939,1.5362,0.69,0.6232,0.60732,0.44751,1.08892,1.42309,1.62506,0.007888,0.007888,0.007888
34,1025.25,1.11021,1.5203,1.53468,0.66932,0.63351,0.61089,0.44888,1.08164,1.40096,1.61688,0.007822,0.007822,0.007822
35,1645.03,1.109,1.50757,1.53237,0.67016,0.63036,0.60334,0.44591,1.07784,1.40704,1.60544,0.007756,0.007756,0.007756
36,2284.95,1.11,1.50052,1.53359,0.67703,0.64685,0.61257,0.44664,1.09142,1.3973,1.62126,0.00769,0.00769,0.00769
37,2872.88,1.08765,1.48253,1.52288,0.67915,0.63946,0.61316,0.45017,1.0821,1.40339,1.60446,0.007624,0.007624,0.007624
38,3482.73,1.09333,1.47923,1.51714,0.67913,0.65365,0.61696,0.45648,1.06255,1.38679,1.5946,0.007558,0.007558,0.007558
39,4037.08,1.09332,1.46991,1.52053,0.68385,0.63932,0.60998,0.4512,1.06514,1.40817,1.60782,0.007492,0.007492,0.007492
40,4621.07,1.08533,1.45436,1.5152,0.68877,0.64875,0.61451,0.45414,1.05938,1.40656,1.59313,0.007426,0.007426,0.007426
41,5227.62,1.08112,1.44504,1.51404,0.67842,0.65317,0.61559,0.45587,1.06653,1.38825,1.60829,0.00736,0.00736,0.00736
42,5833.18,1.08221,1.43786,1.51194,0.68065,0.65381,0.61669,0.45662,1.07076,1.3938,1.6111,0.007294,0.007294,0.007294
43,6539.4,1.07873,1.45036,1.5128,0.68226,0.64973,0.6183,0.4625,1.07118,1.41272,1.62886,0.007228,0.007228,0.007228
44,7193.38,1.07387,1.43993,1.5033,0.68406,0.6551,0.6212,0.46466,1.05659,1.40995,1.60011,0.007162,0.007162,0.007162
45,7892.12,1.07936,1.44362,1.50937,0.69254,0.64574,0.62055,0.463,1.05247,1.40166,1.5928,0.007096,0.007096,0.007096
46,8431.05,1.07221,1.42037,1.49792,0.67791,0.65791,0.61952,0.46244,1.05391,1.39893,1.60221,0.00703,0.00703,0.00703
47,9057.59,1.06326,1.40409,1.49363,0.67387,0.65128,0.61621,0.46191,1.04951,1.40658,1.60084,0.006964,0.006964,0.006964
48,9661.53,1.06332,1.40802,1.49369,0.68411,0.654,0.62041,0.46537,1.04966,1.39939,1.60311,0.006898,0.006898,0.006898
49,10358.2,1.05893,1.4053,1.49259,0.67516,0.65234,0.61686,0.46631,1.04156,1.40004,1.59841,0.006832,0.006832,0.006832
50,10923.8,1.05665,1.39451,1.49154,0.68198,0.65207,0.61553,0.46467,1.04137,1.39291,1.60218,0.006766,0.006766,0.006766
51,11655,1.06343,1.39484,1.49261,0.67183,0.66082,0.61772,0.46682,1.03821,1.39461,1.60087,0.0067,0.0067,0.0067
52,12243.4,1.054,1.38062,1.48791,0.6817,0.65492,0.61716,0.46606,1.04012,1.40615,1.60182,0.006634,0.006634,0.006634
53,12832.4,1.048,1.38357,1.4824,0.68152,0.6609,0.61967,0.46604,1.03791,1.39553,1.5963,0.006568,0.006568,0.006568
